name,official_name
västra götaland county administrative board,Länsstyrelsen i Västra Götalands län
länsstyrelsen i örebro län,Länsstyrelsen i Örebro län
county administrative board of örebro,Länsstyrelsen i Örebro län
lore,Länsstyrelsen i Örebro län
örebro county administrative board,Länsstyrelsen i Örebro län
länsstyrelsen i östergötlands län,Länsstyrelsen i Östergötlands län
county administrative board of östergötland,Länsstyrelsen i Östergötlands län
logtl,Länsstyrelsen i Östergötlands län
länsstyrelsen i östergötland,Länsstyrelsen i Östergötlands län
östergötland county administrative board,Länsstyrelsen i Östergötlands län
malmö universitet,Malmö universitet
malmö university,Malmö universitet
mau,Malmö universitet
malmö högskola,Malmö universitet
mah,Malmö universitet
mediemyndigheten,Mediemyndigheten
the swedish press and broadcasting authority,Mediemyndigheten
memy,Mediemyndigheten
"myndigheten för press, radio och tv",Mediemyndigheten
mprt,Mediemyndigheten
myndigheten för radio och tv,Mediemyndigheten
mrtv,Mediemyndigheten
swedish agency for the media,Mediemyndigheten
swedish broadcasting authority,Mediemyndigheten
medlingsinstitutet,Medlingsinstitutet
swedish national mediation office,Medlingsinstitutet
mi,Medlingsinstitutet
national mediation office,Medlingsinstitutet
migrationsverket,Migrationsverket
swedish migration board,Migrationsverket
migr,Migrationsverket
statens invandrarverk,Migrationsverket
invandrarverket,Migrationsverket
mig,Migrationsverket
mittuniversitetet,Mittuniversitetet
mid-sweden university college,Mittuniversitetet
mh,Mittuniversitetet
mitthögskolan,Mittuniversitetet
mid sweden university,Mittuniversitetet
miun,Mittuniversitetet
moderna museet,Moderna museet
modern museum,Moderna museet
mm,Moderna museet
myndigheten för arbetsmiljökunskap,Myndigheten för arbetsmiljökunskap
?,Myndigheten för arbetsmiljökunskap
mynak,Myndigheten för arbetsmiljökunskap
swedish agency for work environment expertise,Myndigheten för arbetsmiljökunskap
myndigheten för delaktighet,Myndigheten för delaktighet
mfd,Myndigheten för delaktighet
myndigheten för handikappolitisk samordning,Myndigheten för delaktighet
handis,Myndigheten för delaktighet
handisam,Myndigheten för delaktighet
the swedish agency for participation,Myndigheten för delaktighet
myndigheten för digital förvaltning,Myndigheten för digital förvaltning
agency for digital government,Myndigheten för digital förvaltning
digg,Myndigheten för digital förvaltning
digitaliseringsmyndigheten,Myndigheten för digital förvaltning
myndigheten för familjerätt och föräldraskapsstöd,Myndigheten för familjerätt och föräldraskapsstöd
family law and parental support authority,Myndigheten för familjerätt och föräldraskapsstöd
mff,Myndigheten för familjerätt och föräldraskapsstöd
myndigheten för internationella adoptionsfrågor,Myndigheten för familjerätt och föräldraskapsstöd
mia,Myndigheten för familjerätt och föräldraskapsstöd
mfof,Myndigheten för familjerätt och föräldraskapsstöd
swedish intercountry adoptions authority,Myndigheten för familjerätt och föräldraskapsstöd
myndigheten för kulturanalys,Myndigheten för kulturanalys
swedish agency for cultural policy analysis,Myndigheten för kulturanalys
mka,Myndigheten för kulturanalys
myndigheten för psykologiskt försvar,Myndigheten för psykologiskt försvar
swedish psychological defence agency,Myndigheten för psykologiskt försvar
mpf,Myndigheten för psykologiskt försvar
office of psychological defense,Myndigheten för psykologiskt försvar
spda,Myndigheten för psykologiskt försvar
myndigheten för samhällsskydd och beredskap,Myndigheten för samhällsskydd och beredskap
swedish civil contingencies agency,Myndigheten för samhällsskydd och beredskap
msb,Myndigheten för samhällsskydd och beredskap
myndigheten för stöd till trossamfund,Myndigheten för stöd till trossamfund
commission for state grants to religious communities,Myndigheten för stöd till trossamfund
sst,Myndigheten för stöd till trossamfund
nämnden för statligt stöd till trossamfund,Myndigheten för stöd till trossamfund
samarbetsnämnden för statsbidrag till trossamfund,Myndigheten för stöd till trossamfund
swedish agency for support to faith communities,Myndigheten för stöd till trossamfund
myndigheten för tillgängliga medier,Myndigheten för tillgängliga medier
swedish agency for accessible media,Myndigheten för tillgängliga medier
mtm,Myndigheten för tillgängliga medier
talboks- och punktskriftsbiblioteket,Myndigheten för tillgängliga medier
tpb,Myndigheten för tillgängliga medier
myndigheten för tillväxtpolitiska utvärderingar och analyser,Myndigheten för tillväxtpolitiska utvärderingar och analyser
